Sr. No.,Required Quantity for PCB,Total Quantity,Reference,Value,PCB Footprint,Manufacturer Part Number / Generic Part Number,Manufacturer Name,Description
1,10,50,"C1, C3, C4, C5, C6, C7, C8, C9, C11, C12",0.1 µF,CAP 0201_0603,885012104003,Wurth Electronics,CAP CER 0.1UF 6.3V X5R 0201
2,2,50,"C2, C10",1 µF,CAP 0201_0603,885012104011,Wurth Electronics,CAP CER 1UF 6.3V X5R 0201
3,2,50,"C13, C14",15 pF,CAP 0201_0603,885012004006,Wurth Electronics,CAP CER 15PF 25V C0G/NP0 0201
4,1,As per requirements,C15,0.1 µF,CAP 0402_1005,GPC0402104-25,Generic,Multilayer Ceramic Capacitors MLCC - SMD/SMT WCAP-CSGP 0.1uF 0402 20% 25V MLCC
5,4,As per requirements,"C16, C38, C39, C40",10 µF,CAP 1206_3216 - 0.8MM,GPC1206106-50,Generic,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF+/-10% 50V X5R 3216
6,1,2,C17,33 µF,CAP ALSMD 5.3MM H5.4MM,EEE-1CA330WAR,Panasonic,CAP ALUM 33UF 20% 16V SMD
7,1,30,C18,0.033 µF,CAP 0402_1005,885012205015,Wurth Electronics,CAP CER 0.033UF 10V X7R 0402
8,1,50,C19,0.1 µF,CAP 0201_0603,885012104001,Wurth Electronics,CAP CER 0.1UF 16V X5R 0201
9,2,4,"C20, C21",100 µF,CAP ALSMD 6.6MM H8.0MM,EEEFK1V101XP,Panasonic,CAP ALUM 100UF 20% 35V SMD
10,1,2,C22,10 µF,CAP ALSMD 4.3MM H5.4MM,865060340001,Wurth Electronics,CAP ALUM 10UF 20% 16V SMD
11,2,25,"C23, C24",22 µF,MURATA GRM188 0603_1608,GRM188R60J226MEA0D,Murata,CAP CER 22UF 6.3V X5R 0603
12,3,25,"C25, C26, C29",0.22 µF,CAP 0603_1608,885012206073,Wurth Electronics,CAP CER 0.22UF 25V X7R 0603
13,3,As per requirements,"C27, C28, C30",1 µF,CAP 0402_1005,GPC0402105-16,Generic,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 1uF+/-10% 16V X5R 1005
14,7,50,"C31, C32, C33, C34, C35, C36, C37",1000 pF,CAP 0201_0603,885012204006,Wurth Electronics,CAP CER 1000PF 25V X7R 0201
15,1,15,D1,19-337C/RSBHGHC-A88/4T,FP-19-337C-RSBHGHC-A88-4T-MFG,19-337C/RSBHGHC-A88/4T,Everlight,LED Tri-Color 468nm/518nm/632nm 6-Pin SMD-B T/R
16,2,3,"D2, D3",RB160VAM-60TR,RB160VAM-60TR-Footprint-1,RB160VAM-60TR,Rohm,DIODE SCHOTTKY 60V 1A TUMD2M
17,6,10,"D4, D5, D6, D7, D8, D9",1N5819HW1-7-F,SOD123F,1N5819HW1-7-F,Diodes,DIODE SBR 40V 1A SOD123F
18,1,2,J2,DX07S016JA1R1500,FP-DX07S016JA1R1500-MFG,DX07S016JA1R1500,JAE Electronics,"USB Connector, 16 Contact(s), Female, Right Angle, Surface Mount Terminal, Locking, Receptacle"
19,1,2,L1,8.2 µH,SRP5020TA-8R2M-Footprint-1,SRP5020TA-8R2M,Bourns,Ind Chip Power Shielded Wirewound 8.2uH 20% 100KHz 21Q-Factor Metal 2.3A T/R
20,1,2,L2,3.9 µH,SDR0302-3R9ML-Footprint-1,SDR0302-3R9ML,Bourns,Inductor Power Wirewound 3.9uH 20% 1KHz 24Q-Factor Ferrite 1.3A 120mOhm DCR T/R
21,1,2,P1,SM04B-SRSS-TB(LF)(SN),SM04B-SRSS-TB(LF)(SN)-Footprint-1,SM04B-SRSS-TB,JST,"Connector Header, Side Entry, SR Series, 4 Position, 1.00mm, 50V, Surface Mount, Tin, Natural"
22,2,2,"P2, P3",SM03B-SRSS-TB(LF)(SN),JST-SM03B-SRSS-TB_V,SM03B-SRSS-TB,JST,"Connector Header, Side Entry, SR Series, 3 Position, 1.00mm, 50V, Surface Mount, Tin, Natural"
23,6,10,"Q1, Q2, Q3, Q4, Q5, Q6",BSC027N06LS5ATMA1,FP-PG-TDSON-8-MFG,BSC027N06LS5ATMA1,Infineon,Transistor Mosfet N-ch 60V 100A 8-PIN Tdson T/r
